community_area,month,primary_type,type_count
13,2025-02-01,DECEPTIVE PRACTICE,13
13,2025-02-01,LIQUOR LAW VIOLATION,1
13,2025-02-01,MOTOR VEHICLE THEFT,5
13,2025-02-01,NARCOTICS,1
13,2025-02-01,OTHER OFFENSE,9
13,2025-02-01,THEFT,31
14,2025-01-01,ASSAULT,9
14,2025-01-01,BATTERY,31
14,2025-01-01,BURGLARY,7
14,2025-01-01,CRIMINAL DAMAGE,23
14,2025-01-01,CRIMINAL TRESPASS,4
14,2025-01-01,DECEPTIVE PRACTICE,14
14,2025-01-01,MOTOR VEHICLE THEFT,13
14,2025-01-01,NARCOTICS,3
14,2025-01-01,OFFENSE INVOLVING CHILDREN,2
14,2025-01-01,OTHER OFFENSE,28
14,2025-01-01,PUBLIC PEACE VIOLATION,3
14,2025-01-01,ROBBERY,6
14,2025-01-01,SEX OFFENSE,1
14,2025-01-01,THEFT,44
14,2025-01-01,WEAPONS VIOLATION,3
14,2025-02-01,ASSAULT,14
14,2025-02-01,BATTERY,36
14,2025-02-01,BURGLARY,3
14,2025-02-01,CRIMINAL DAMAGE,18
14,2025-02-01,CRIMINAL TRESPASS,9
14,2025-02-01,DECEPTIVE PRACTICE,16
14,2025-02-01,INTERFERENCE WITH PUBLIC OFFICER,1
14,2025-02-01,MOTOR VEHICLE THEFT,12
14,2025-02-01,NARCOTICS,3
14,2025-02-01,OTHER OFFENSE,25
14,2025-02-01,ROBBERY,3
14,2025-02-01,SEX OFFENSE,2
14,2025-02-01,STALKING,1
14,2025-02-01,THEFT,41
14,2025-02-01,WEAPONS VIOLATION,2
15,2025-01-01,ASSAULT,11
15,2025-01-01,BATTERY,33
15,2025-01-01,BURGLARY,8
15,2025-01-01,CONCEALED CARRY LICENSE VIOLATION,1
15,2025-01-01,CRIMINAL DAMAGE,16
15,2025-01-01,CRIMINAL SEXUAL ASSAULT,1
15,2025-01-01,CRIMINAL TRESPASS,3
15,2025-01-01,DECEPTIVE PRACTICE,13
15,2025-01-01,HOMICIDE,2
15,2025-01-01,INTERFERENCE WITH PUBLIC OFFICER,3
15,2025-01-01,MOTOR VEHICLE THEFT,21
15,2025-01-01,NARCOTICS,7
15,2025-01-01,OFFENSE INVOLVING CHILDREN,1
15,2025-01-01,OTHER OFFENSE,29
15,2025-01-01,ROBBERY,1
15,2025-01-01,SEX OFFENSE,2
15,2025-01-01,STALKING,1
15,2025-01-01,THEFT,51
15,2025-01-01,WEAPONS VIOLATION,7
15,2025-02-01,ASSAULT,13
15,2025-02-01,BATTERY,26
15,2025-02-01,BURGLARY,7
15,2025-02-01,CRIMINAL DAMAGE,25
15,2025-02-01,CRIMINAL SEXUAL ASSAULT,1
15,2025-02-01,CRIMINAL TRESPASS,5
15,2025-02-01,DECEPTIVE PRACTICE,17
15,2025-02-01,INTERFERENCE WITH PUBLIC OFFICER,1
15,2025-02-01,KIDNAPPING,1
15,2025-02-01,LIQUOR LAW VIOLATION,1
15,2025-02-01,MOTOR VEHICLE THEFT,23
15,2025-02-01,NARCOTICS,4
15,2025-02-01,OTHER OFFENSE,24
15,2025-02-01,ROBBERY,2
15,2025-02-01,SEX OFFENSE,1
15,2025-02-01,STALKING,1
15,2025-02-01,THEFT,52
15,2025-02-01,WEAPONS VIOLATION,5
16,2025-01-01,ARSON,1
16,2025-01-01,ASSAULT,10
16,2025-01-01,BATTERY,33
16,2025-01-01,BURGLARY,7
16,2025-01-01,CRIMINAL DAMAGE,12
16,2025-01-01,CRIMINAL SEXUAL ASSAULT,1
16,2025-01-01,CRIMINAL TRESPASS,7
16,2025-01-01,DECEPTIVE PRACTICE,17
16,2025-01-01,INTERFERENCE WITH PUBLIC OFFICER,2
16,2025-01-01,MOTOR VEHICLE THEFT,19
16,2025-01-01,NARCOTICS,3
16,2025-01-01,OTHER OFFENSE,23
16,2025-01-01,PUBLIC PEACE VIOLATION,1
16,2025-01-01,ROBBERY,5
16,2025-01-01,SEX OFFENSE,4
16,2025-01-01,STALKING,1
16,2025-01-01,THEFT,41
16,2025-01-01,WEAPONS VIOLATION,1
16,2025-02-01,ASSAULT,11
16,2025-02-01,BATTERY,29
16,2025-02-01,BURGLARY,9
16,2025-02-01,CRIMINAL DAMAGE,22
16,2025-02-01,CRIMINAL TRESPASS,1
16,2025-02-01,DECEPTIVE PRACTICE,14
16,2025-02-01,INTERFERENCE WITH PUBLIC OFFICER,2
16,2025-02-01,INTIMIDATION,1
16,2025-02-01,LIQUOR LAW VIOLATION,1
16,2025-02-01,MOTOR VEHICLE THEFT,7
16,2025-02-01,NARCOTICS,2
16,2025-02-01,OFFENSE INVOLVING CHILDREN,1
16,2025-02-01,OTHER NARCOTIC VIOLATION,1
16,2025-02-01,OTHER OFFENSE,22
16,2025-02-01,PUBLIC PEACE VIOLATION,1
16,2025-02-01,ROBBERY,4
16,2025-02-01,SEX OFFENSE,1
16,2025-02-01,THEFT,48
16,2025-02-01,WEAPONS VIOLATION,2
17,2025-01-01,ARSON,1
17,2025-01-01,ASSAULT,8
17,2025-01-01,BATTERY,21
17,2025-01-01,BURGLARY,5
17,2025-01-01,CRIMINAL DAMAGE,16
17,2025-01-01,DECEPTIVE PRACTICE,17
17,2025-01-01,MOTOR VEHICLE THEFT,7
17,2025-01-01,OFFENSE INVOLVING CHILDREN,1
17,2025-01-01,OTHER OFFENSE,16
17,2025-01-01,ROBBERY,1
17,2025-01-01,STALKING,1
17,2025-01-01,THEFT,23
17,2025-01-01,WEAPONS VIOLATION,1
17,2025-02-01,ASSAULT,8
17,2025-02-01,BATTERY,11
17,2025-02-01,BURGLARY,8
17,2025-02-01,CONCEALED CARRY LICENSE VIOLATION,1
17,2025-02-01,CRIMINAL DAMAGE,6
17,2025-02-01,CRIMINAL SEXUAL ASSAULT,1
17,2025-02-01,CRIMINAL TRESPASS,7
17,2025-02-01,DECEPTIVE PRACTICE,5
17,2025-02-01,MOTOR VEHICLE THEFT,6
17,2025-02-01,NARCOTICS,1
17,2025-02-01,OFFENSE INVOLVING CHILDREN,3
17,2025-02-01,OTHER OFFENSE,9
17,2025-02-01,ROBBERY,1
17,2025-02-01,THEFT,17
17,2025-02-01,WEAPONS VIOLATION,1
18,2025-01-01,ASSAULT,1
18,2025-01-01,BATTERY,5
18,2025-01-01,DECEPTIVE PRACTICE,7
18,2025-01-01,MOTOR VEHICLE THEFT,3
18,2025-01-01,OFFENSE INVOLVING CHILDREN,1
18,2025-01-01,OTHER OFFENSE,4
18,2025-01-01,THEFT,6
18,2025-02-01,ARSON,1
18,2025-02-01,ASSAULT,5
18,2025-02-01,BATTERY,4
18,2025-02-01,BURGLARY,1
18,2025-02-01,CRIMINAL DAMAGE,6
18,2025-02-01,CRIMINAL TRESPASS,1
18,2025-02-01,DECEPTIVE PRACTICE,6
18,2025-02-01,MOTOR VEHICLE THEFT,2
18,2025-02-01,OTHER OFFENSE,10
18,2025-02-01,THEFT,19
19,2025-01-01,ASSAULT,26
19,2025-01-01,BATTERY,80
19,2025-01-01,BURGLARY,16
19,2025-01-01,CONCEALED CARRY LICENSE VIOLATION,1
19,2025-01-01,CRIMINAL DAMAGE,25
19,2025-01-01,CRIMINAL SEXUAL ASSAULT,4
19,2025-01-01,CRIMINAL TRESPASS,10
19,2025-01-01,DECEPTIVE PRACTICE,24
19,2025-01-01,HOMICIDE,1
19,2025-01-01,INTERFERENCE WITH PUBLIC OFFICER,3
19,2025-01-01,MOTOR VEHICLE THEFT,25
19,2025-01-01,NARCOTICS,5
19,2025-01-01,OFFENSE INVOLVING CHILDREN,1
19,2025-01-01,OTHER OFFENSE,42
19,2025-01-01,PUBLIC PEACE VIOLATION,1
19,2025-01-01,ROBBERY,10
19,2025-01-01,SEX OFFENSE,4
19,2025-01-01,STALKING,2
19,2025-01-01,THEFT,78
19,2025-01-01,WEAPONS VIOLATION,7
19,2025-02-01,ASSAULT,25
19,2025-02-01,BATTERY,42
19,2025-02-01,BURGLARY,14
19,2025-02-01,CRIMINAL DAMAGE,28
19,2025-02-01,CRIMINAL TRESPASS,3
19,2025-02-01,DECEPTIVE PRACTICE,19
19,2025-02-01,LIQUOR LAW VIOLATION,2
19,2025-02-01,MOTOR VEHICLE THEFT,11
19,2025-02-01,NARCOTICS,6
